doi,ref,tweet_id,tweet_url,ref_domain,alt_has
10.1016/j.eswa.2015.01.003,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0957417415000081&_version=1&md5=8ee9cf1678a93c315609f41be742520f,564482583736508416,https://twitter.com/FlexibleNano/status/564482583736508416,sciencedirect.com,False
10.1016/j.eswa.2015.01.003,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0957417415000081&_version=1&md5=8ee9cf1678a93c315609f41be742520f,564482581853249536,https://twitter.com/FlexiblePV/status/564482581853249536,sciencedirect.com,False
10.1016/j.eswa.2014.11.069,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0957417414007854&_version=1&md5=863ddc3ff5f632664a4ae84f951aded2,555017958041600001,https://twitter.com/drspiteri/status/555017958041600001,sciencedirect.com,False
10.1016/j.eswa.2014.12.038,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0957417414008173&_version=1&md5=6ff5f115b0d1b75d098999b274b5f835,555380495593508864,https://twitter.com/drspiteri/status/555380495593508864,sciencedirect.com,False
10.1016/j.eswa.2014.10.029,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0957417414006538&_version=1&md5=a4ab9a8ef6627e371d4206d945371d02,545939661815042048,https://twitter.com/drspiteri/status/545939661815042048,sciencedirect.com,False
10.1016/j.eswa.2014.10.021,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0957417414006459&_version=1&md5=2e220af599d69f7e1f6e0f61f526e103,539099233169588224,https://twitter.com/Smart_Materials/status/539099233169588224,sciencedirect.com,False
10.1016/j.eswa.2014.11.005,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0957417414006885&_version=1&md5=2fe22eb1962062520f9bf071a4569125,539076839398850561,https://twitter.com/nanocomposites/status/539076839398850561,sciencedirect.com,False
10.1016/j.eswa.2014.11.010,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0957417414006964&_version=1&md5=30af9901898251e6d9d12d2cab97837a,543532324357304321,https://twitter.com/FlexibleNano/status/543532324357304321,sciencedirect.com,False
10.1016/j.eswa.2014.11.010,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0957417414006964&_version=1&md5=30af9901898251e6d9d12d2cab97837a,543532322570530816,https://twitter.com/FlexiblePV/status/543532322570530816,sciencedirect.com,False
10.1016/j.eswa.2014.08.041,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0957417414005235&_version=1&md5=a71a649a8f07cd6d713af28e0fbc534b,522732036448989184,https://twitter.com/Smart_Materials/status/522732036448989184,sciencedirect.com,False
10.1016/j.eswa.2014.09.010,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0957417414005491&_version=1&md5=04d0a07a284a5253a9632a94a13b2188,523479112875143168,https://twitter.com/Smart_Materials/status/523479112875143168,sciencedirect.com,False
10.1016/j.eswa.2014.09.017,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0957417414005569&_version=1&md5=fd9228ce253335156f66a4d1e4b15313,516271232371523584,https://twitter.com/Library_Space/status/516271232371523584,sciencedirect.com,False
10.1016/j.eswa.2014.08.018,sciencedirect.com/science/article/pii/s0957417414004941,1058626779445891072,http://twitter.com/TricksterDoesIt/statuses/1058626779445891072,sciencedirect.com,False
10.1080/0740817X.2014.955151,ir.stthomas.edu/ocbopmtpub/66,850687980671033346,http://twitter.com/ustlibraries/statuses/850687980671033346,ir.stthomas.edu,False
