DI,plumx_id
10.1007/s10479-013-1404-6,AQhHpktge2ggI0hp0dSfDTMcJuMbkNJilEJx0XETFgs
10.1007/s10479-013-1401-9,3oswL0uMv3JukoVaT_Wd9KOVWGDkJP-YtxySoObky-U
10.1007/s10479-013-1426-0,1c8wS35c1vMhNCGyBAXG2_H3t_ALwq4Fopff_mLNMzo
10.1080/0305215X.2014.971777,F6PbCBq-zzQI2Wd-1kzxsa7FTvEfvgB42mgXz42Jqic
10.1080/0305215X.2014.979814,1kRgzsRIAxJlKZsWXLPyzHhuLFFqWFv43UJyk5CD9rI
10.1080/0305215X.2014.971778,0UI6CjkbUv9_k7lLAIbQYP113w1L3m41RNXLKvLH__M
10.1080/0305215X.2014.977274,0fOks8X0W13SddGyyrsTXhsweQ3rO2nSX6ej0fpX_Mg
10.1080/0305215X.2014.979816,7QYIERx7CA7nHWSvAdDCFNyy4RD3-7QEsx2TNd6sGiw
10.1080/0305215X.2014.979813,A69oaLPk-9RxSQWLwyr817iyVyo_0f61If_Jux0b1mU
10.1080/0305215X.2014.982634,0JbWTT7jN5tydqJ3yCtNWXb5gnTCqWkVATafg4rXSbA
10.1080/0305215X.2014.963068,-2PXP9mdnGwYvbeBUQvpPCvpBbmkxIknoVuvZ1n5Mb4
10.1080/0305215X.2014.963069,30zKROPd6LbH4Ae76jliwZGqrJMhPCQEXV2Y3yKDnDo
10.1080/0305215X.2014.963070,6bCejEWEHlirvislrVH5b1MNhNRVp3LdmplX_g8Yn-I
10.1080/0305215X.2014.969724,-RY0d7K_8_yXJ3bruM77NwJkU64TAizHjJYVURujpMM
10.1080/0305215X.2014.969725,0oz9hfs9jtlNtDtWe4JtiFrl7cfO1UWaCCL5DNF20wQ
10.1080/0305215X.2014.969727,7UKcfWMG8atFu481wHmxLmAbKk_er5QDSQPXJFrCKJU
10.1080/0305215X.2014.971776,12esBdKex1brCkVJX81jCe6jilYY4XJZctpLMxgsGAk
10.1080/0305215X.2014.958732,-3CeXZ-Ufw1bkvevZW1-DOUUUXmnQa6DhiZ8idLn_c4
10.1080/0305215X.2014.954565,209ZjOKEaUoBGADWlr9_EFhKhD7FOCJ0LYj3KjU9FhQ
10.1080/0305215X.2014.954566,-oPcL4iOgECrcqtlHxzTEA2gaUj5DFTpXlWAxpwHgGc
10.1080/0305215X.2014.954567,-pH_HTAVORA807jhR5D1NofNetg-4_RUMq-u1dR6heI
10.1080/0305215X.2014.958733,05_0Eb0-xbV7_CWfJxTEuttCGDq6yPLSRrGm00LxYr0
10.1080/0305215X.2014.958734,77nfTqHwHK9eHmIrid3C7ChJi6uWk06WG0rnc5F6ir8
10.1080/0305215X.2014.963071,0nj59SVPaic_t-VCE1Jg5vcihkgHuoSgXs72K9NFSGw
10.1080/0305215X.2014.969726,5nvlkjunInzWMUIuYUY_0o93FS02OuSxV4J6NZ4FOHU
10.1080/0305215X.2014.941288,3QbeHSx0FBUrUAkPLZZWK1HkGecKGQiPvRnRRai5QKs
10.1080/0305215X.2014.941289,0kPWogOGZpqUU-B-Lh7Jj7XfcPPFgo6nDG-P7dtWhso
10.1080/0305215X.2014.941532,199Tdw2qDOZIYmOzZaq7QMMPJVe-Pohogb-uHzHXaf4
10.1080/0305215X.2014.947972,0PUg_ewNehU9OvEachZVAFrMBgFDBwlD116gUqhZ0MQ
10.1080/0305215X.2014.947973,4SB2ljkGxSa5boW-ANpN2JCi6cqI-wU5QWCTe7Jprd8
10.1080/0305215X.2014.947974,1oVT0neGkbJEfWTitbWrnFRZ42Z40tc5pUdpgC_qeJs
10.1080/0305215X.2014.947975,6DMQX64mEh3PX6IEDznYUtg38aYexmBCfk7j1c6yOmA
10.1080/0305215X.2014.954568,2i_o9LpSwgcHpg69QNxAlCIW4R2x6XdhWg5Gy1Z7WNE
10.1080/0305215X.2014.928817,043GZ1oSkqYF-XJ_Eg_d1HPGM8RsLSGCfydDlXxt31Y
10.1080/0305215X.2014.928816,3CFluGD9XMj20RwZ7sBlAHeEnF58zSEKJOhM1UESY9c
10.1080/0305215X.2014.941290,1-DtHm5pLeGUooyfEJ9yIXhTITuZZgcB4QNY0T3MtHk
10.1080/0305215X.2014.933822,7cgrpepZVfpvkonPu0Z5Yz3An2VFCOBgms2GD2K7dA8
10.1080/0305215X.2014.933823,3pJEzh-y9-0ck9RJhK1oQVCz8Kq5JJ7JV5dXdDs3_Ko
10.1080/0305215X.2014.933825,4NxEjTvF997529_8HryprQHZBoxBIX9ADKFqgTsagh8
10.1080/0305215X.2014.933824,4Y8DSW_N4fADHG8TONFA7s2HB5fwMGx8tM1CPJmWK_g
10.1080/0305215X.2014.928818,2oonEKGA2nYs-pvYJ5e26OT-DhrIofQbycz0xVR5nZU
10.1080/0305215X.2014.918114,4voMHATq4Bqayl0K_1_ZNk3SLHrQGHRsa6kQB1Y4OHU
10.1080/0305215X.2014.918115,-PQkkUDFu2AKHnCQ-pBHHtnNV6EYgIF41onJVrkC6VA
10.1080/0305215X.2014.927449,AF5JA7DCKipHlOF4UVaf64pntQsr-44GCjJ2t2MBlIk
10.1080/0305215X.2014.927451,-hWfoO5CdoO5_CCHLdrXDW0NG6D-8LLkSoWwALSz4fk
10.1080/0305215X.2014.927452,-jkLoLwoQ1UIj8TI3KqP-pE2TQlMiDF_K6HWjbLo1QA
10.1080/0305215X.2014.918116,2W00w7m0SvDBgBjyZ1GldJjFlNf4F7xGELNeBQKFKEo
10.1080/0305215X.2014.928815,-pDC3fneEzcTK9zz-URQAL9tb1rGfINzPXAfzPEFrlA
10.1080/0305215X.2014.927450,K_Vs0XmZPsUoRA95nQRtQ1y-cQzV7kto6_05oQ8AEBs
10.1080/0305215X.2014.958731,0UJaPurN1RERFdLEgonlSKS0PKrC4_fNRaZxHaUbIQA
10.1080/0305215X.2014.908871,2EG4cB3a0JfPbGdQ7KC36q_WW84b1wcy5u5y1cMxCHU
10.1080/0305215X.2014.908869,-igQyc7AsgL--XNfRoymyxTLEZz0hWPKiMvm5EZNkmA
10.1080/0305215X.2014.908870,0MxMuANI5DS0LvCahwm7vgrw5tO9gudfaV3XjXfBE6k
10.1080/0305215X.2014.914189,4Vfw0g1YZc4Tgy7qF97D81PQKIFu0iFtwHYERuHdpl8
10.1080/0305215X.2014.914190,2Hs2eqQiW64pHXvRN3E8YbsPHOOTH2q_xkHS-eG2xMA
10.1080/0305215X.2014.914191,0jXR3WmzaJ4hs15-iPtv7iPpccfifL5lfobNH2ZI32U
10.1080/0305215X.2014.914282,Gqp7pR-r0tgyuiw-3c8EUJgOvJQi74jz1Qw83Oabg10
10.1080/0305215X.2014.918113,0hY2hKvgTuGUBzvnjwWqKdvd5BMInL45ZBmLxyGTx_A
10.1080/0305215X.2014.952067,WCgT0ibjtuuS_PTUySttCpbBqXlNfTMc8lPaWhjuoNY
10.1080/0305215X.2014.905550,0PPE7YJNxpXbJPdQhFXjD-sfT-2Nu964S8I7s-l4gQk
10.1080/0305215X.2014.905551,34ZUJ5FPWX89DXApyiNRhWiFQSlPDTLzQDlttpw9mAU
10.1080/0305215X.2014.895338,-rpnGHD46FTR_YA2LRfqufxf2KIqQMWtU6tILvqZE_g
10.1080/0305215X.2014.895339,0FQXj7dLsIFCy8lAvnqSLcLn9OV28SRXTSNy0QcLhFw
10.1080/0305215X.2014.895340,3VW9WgnKeg9k3GLy5QSkHoryLWv-4_71BRO4uDIQjcY
10.1080/0305215X.2014.905552,93_u_OmL4DGuHp-Fv9_03U471PvlN23XhGADd_g68eY
10.1080/0305215X.2014.905553,0_K0p2LvEETpER860_AIyWMysULpEAsAPZnWfd9TLdo
10.1080/0305215X.2014.908868,0mc1sLEWgP_20v-OmHU8wACGVRvhecvqcfMw6joQdMU
10.1080/0305215X.2014.887705,0ho_l1EL-f1Y0fn7Wo7Dd3Rl1wu7szgk-gYzS6GYSG4
10.1080/0305215X.2014.887706,8qsTwgmfzeqWPzLqqhKmRm55_TgdH9NFyUJvFLvn4e0
10.1080/0305215X.2014.892593,1lnKCthphIihD_pq3fqzHvtiAjilHteVNqUIdr90MfE
10.1080/0305215X.2014.892594,1LAKkHhAqobI5_UEwmlgrtqrMlxPWbhlJTQIfzWNXic
10.1080/0305215X.2014.892595,1RclydMZNjZIXZNdOkPtFCtoU9nKAt3qh8va2ZihAbY
10.1080/0305215X.2014.892596,4yImBDCTxR3efPGMkhP25I9DMTq4WTTx23k2VGWAz2s
10.1080/0305215X.2014.895337,3WEfRGzE6hrh7dZoT6b06m78TdMwpFVMihsYaiFH9Ak
10.1080/0305215X.2013.875167,2QZp5PXrQrkBibq_aw1OJD7bJ9zfZUbZt8FnTwI5lbE
10.1080/0305215X.2013.875166,5DF__OKE8nxRCqJI0OAKd0VSHCfld2qoY-YaKr4yHdw
10.1080/0305215X.2014.881808,8Ya29ZCJUw3kxXg3N0XSrBaOW3LFpFadNeKrY4IslG8
10.1080/0305215X.2014.881809,-0SEbYyhmvbDkuCZtDC8UMxCHAhqLnw0swW-cBbrLTQ
10.1080/0305215X.2014.882332,2SIV-UgOIjbF90qiSIZraLfpzLyjjJ0Doe79we8BwuA
10.1080/0305215X.2014.887703,0pNjT3SQY2wcDOGPhDqQxgPV81M_84am6V31oZfLCmM
10.1080/0305215X.2014.887704,0G69UHVXtgXMVoJ4v0H4svy6hFUWDPOJLqiC811s_qQ
10.1080/0305215X.2014.881807,1sZWfAkyZ2OHn8A-Tgn0451n6uZxj-MrNwbDptWwSik
10.1080/0305215X.2013.858138,6XvkY2Od6x4LFPmPcBs-T17gHVxj3CHQuvx0lrjDS9c
10.1080/0305215X.2013.868450,560U6ftXb2l22sqLAdmXuKYMLNtHts5l0xV0yabg1Ks
10.1080/0305215X.2013.868451,-xcyn5QHkgUNWxuWv26duoU_dIhL3agg5-Z1BsCoiAg
10.1080/0305215X.2013.868452,-U3TVu7RH8ETmO5Qc496-NIg0fQ8soj61gxQcIScDi4
10.1080/0305215X.2013.868453,2wpQEPjilZIOM_CV88PkRMwkPQ-U6Wz8191o_TGXbYs
10.1080/0305215X.2013.875164,3ejiPbok5lLlO7XNU_z2HqMyVHQpX01zCNyelLCafps
10.1080/0305215X.2013.875165,1inNXCIKy24_8amD09BU1zX36BUsGdT6dqIkT7x5mXE
10.1080/0305215X.2014.971779,1VgkaFi2lntkruj9fXyH0lsN5Dgm-OYCxqIlP0zpHj4
10.1080/0305215X.2014.982631,0XriizNQeti1UgIyh94AqDEDgHg0w_u9pByr_XPMyaw
10.1080/0305215X.2014.982632,4jFR6ahQz_aUOehyFthrXvVn25HefNs2ct9xYp_RILs
10.1080/0305215X.2014.982633,0y2zvLtgvLi5Rvc6Rxwu70Z3mMqamGWLOFczL_fCAdU
10.1080/0305215X.2014.992891,Ph264s62NnquHPlDtVPUIEuZ3g9pydiI_TUxVqqNJeo
10.1080/0305215X.2014.992892,-2eGpWw7yGcxNF1e-W1E10W8J-q0bA3-WJVpxIq8B5U
10.1080/0305215X.2014.995176,5zGTPmRcI_0rbvsoXl1vIXUGB5Re6HA_Tprz8bpcdss
10.1080/0305215X.2014.979815,B2KOHxS8NIowfRtYF-oDWbw3irrvH24RSBHRdTKdL00
10.1016/j.ejor.2015.05.053,-LAh2Xe8oYyj6hVKS88Ts9PkyEKzBFWLR75CzoSGflU
10.1016/j.ejor.2015.06.049,1s2Bp4SMrK2L0ZsyYRyCjgAnhykjmSoS8wHzy15J-hw
10.1016/j.ejor.2015.06.045,1d7kJK5jdka8bBylC44GpJwYxWiz3lgYHTP5ZG2VFnY
10.1016/j.ejor.2015.06.046,0newu_DfGSUMWXa_W6DsMoxSqVb9-sBMEFl5isLjBLo
10.1016/j.ejor.2015.06.052,29CzXSLiGWJDiSd3dKLFDVA1-ht0HubVQldIkxAO3AU
10.1016/j.ejor.2015.06.061,0mlD7R2SfrURIowdK99AG1BiOKRiuTcXquqVmhQaq4c
10.1016/j.ejor.2015.06.024,7gRiHQkEXFycvLtVwqAtONVuYx1Pbm6IZOHtQFJXJsI
10.1016/j.ejor.2015.06.040,SnSnXH35Ss4dNhrf_jHlYNmZqXjWiHOkdhrdoWALnLg
10.1016/j.ejor.2015.06.059,3zrW2M96flTwjwfwlx81zKHn-x0XGPNDNwcueRBijns
10.1016/j.ejor.2015.05.079,1K9EYGRWj8l7FEo3OVFy9frQyTo8kf-ZBemBAz-dklQ
10.1016/j.ejor.2015.05.062,-X3q4HvVj8OCZwdI3T3Ob5aOTm4zogCdUnsU3jz8QKs
10.1016/j.ejor.2015.06.039,2H6lLLo_QO-wM1dA368wEp5LLhh96b0Zo_s1kQOeehY
10.1016/j.ejor.2015.06.067,Ifx2bPQAgmJZinFv43nLZS8XKcVczE6Rg9fw0c1IGQY
10.1016/j.ejor.2015.05.032,-C-QPgBIAF8X-cRKjp5mz7KhMibZUH5EdzUeon38Ixo
10.1016/j.ejor.2015.06.003,1NI6plcB83w4IDX6uWT3vA0epUx2jEq6AYCwbhezjIs
10.1016/j.ejor.2015.06.053,-Rc-SE7vUZrGsEdOLbHkPVjdkJJTpyhYo4K-o2duF4k
10.1016/j.ejor.2015.05.068,I68TcBpr1xE2797zmZf1A_m9l_lqJMtgdGtaDvsEdfM
10.1016/j.ejor.2015.05.030,-0yY-3iuYuW_87E-iP3vrGrD7cItmnANUWREl7_nIDU
10.1016/j.ejor.2015.05.018,2PiP_u0Ai35rgMEXRP9-jAuLt1n3RFahP8U5rttXOnU
10.1016/j.ejor.2015.06.009,6N_iSmcmGMvcWPNNbGBrucf6j7yLgY4dD2t7K7ZtZLc
10.1016/j.ejor.2015.05.064,0MvmnClPVmvDtF_Js4cSvQTGU4Vx38HemOPE3Jdwgq0
10.1016/j.ejor.2015.05.063,2xlOlxutE6mxFQ-u5FxDEbcaFZttm9pLqa1Wl5oFEcQ
10.1016/j.ejor.2015.05.056,3WqpS-h7n2D1WSeY62frUWS5Vugl6VoYIhH_KslkQDY
10.1016/j.ejor.2015.05.061,DoXo_abPNtnbvjX4dzwqa5fmbnQgBuM327lw0pefz7s
10.1016/j.ejor.2015.05.034,0TBPKAORWylR9b7tQJct7Wcfl1eHoO8ljgNTA-z3oRI
10.1016/j.ejor.2015.05.043,-BksqExPf3cNW1B-ciE_sr01hVPFRGOduPj7bXg3Moc
10.1016/j.ejor.2015.05.074,0pWAX8yVp0CGP6BXhLuo-eNtRlA1wxfBEMAt2cMiaN0
10.1016/j.ejor.2015.04.013,3IRSyBBcl2TwFcXmXBx3bytfiK98d5zXQf7jMOaXZPU
10.1016/j.ejor.2015.05.027,1T2mW-djK45trSmJ0nc7kHHU2QcH8JBSRYpugcqD9RY
10.1016/j.ejor.2015.04.026,MMrINBCgfbiW0jlqC6SqszU1HxFD0Q5kRJNSKGcvEt0
10.1016/j.ejor.2015.05.020,3UIpVDH2qnSdTniiwWgt0dCpisNx6Xzez-vN8YEG7XE
10.1016/j.ejor.2015.05.052,0g4hkEWLSZ6Mu5cj7jDwGj7ahexOcbnZ9SzCzVQMvvk
10.1016/j.ejor.2015.05.046,-GQvdVthlrS4cvFS9zxNGcRHYmqEq9ElwPV4TL8_4Yc
10.1016/j.ejor.2015.05.029,6Fe3Mz1CWdWUvmunczrtiMP0umQ-KdxuqiEvRMpr_Zs
10.1016/j.ejor.2015.05.054,0jBAFxqGsAazRccT9wEzSdJ3iJ5Ki-F5pz-lkyan0-g
10.1016/j.ejor.2015.04.052,CS1_twLy4dw22bFjlO-uMVFSj_1x2oQYlx8hHb4xRAQ
10.1016/j.ejor.2015.04.032,1vl_-mwDuJPQmnbSwXHdfMZP_l9w11Sq1R3B89cqOLs
10.1016/j.ejor.2015.05.016,-9BmSh4tPB2H86pzKJ4KnuhCrHJl8-MBPViBYoXkbyg
10.1016/j.ejor.2015.05.014,5W6yFt6jcvI102opaaowB3YeMS-92bpnCCHYlvL6YuE
10.1016/j.ejor.2015.05.023,-xTRZcyqvpYNRu-DBQn-tGbMilAU8_Lq3_EU3g3TblM
10.1016/j.ejor.2015.05.003,IrRRI_qhfr_pwrvMpDHLqtBkQnsCGAhGhEk25E8P0hY
10.1016/j.ejor.2015.04.051,9Aycn-Owh4erPzznXyPQ7LNiZmWXw0iTufbnVOnNkRk
10.1016/j.ejor.2015.05.017,3QxtaLetivC5tnZozlJDuQxK29vTOLAQNn-Zp5_jhdk
10.1016/j.ejor.2015.05.009,3mT1AL-1j8CNRzVqjGbenwb7Q1VagM8B789XBl5rV2I
10.1016/j.ejor.2015.05.024,3aCAEeICrMdXBtlbVC1x1dLJ2XLTD7OMp787jIIuyq0
10.1016/j.ejor.2015.05.012,5mVzsWKLw_MwiPWEWJtYTs-v41gozWnJZlNfQ7y53V8
10.1016/j.ejor.2015.04.025,FUcCYleRKbOGdBKyPtw8njyMObfOmSfNK26atwFfJp4
10.1016/j.ejor.2015.04.042,4P5SgYxqM1y8Iy2ReyDFb1PKRz6pyBycbmRbnjN0gW4
10.1016/j.ejor.2015.04.039,AYhD4G0QEejpjTkK1xAamEnb9udcDUYOGQuR6Pgy_sA
10.1016/j.ejor.2015.04.037,9A_wf6UJ7VtL-IFsDHCPz3YnYW679b0DRfmtV9VzvUA
10.1016/j.ejor.2015.05.015,3R456ZpeJF_FBtfycCwrjo5piH93IsSjfr3jJwYQj4A
10.1016/j.ejor.2015.04.040,-SEALDbNMMv0JyjkkYjavg20-AeOaCNs9TCUSqQMplQ
10.1016/j.ejor.2015.04.045,9q40-BWboRHXTWpLRYxbY8xexJKGvAbtlFX7C914jpc
10.1016/j.ejor.2015.05.013,8nDZorIYm2xmgUvI6p2LaeKyl0JMfF9bHZVkKpJBRiM
10.1016/j.ejor.2015.05.008,8l1tj_obRYJuoJf9Yg2XVEJ443rmPmqplbW6ycfwCQM
10.1016/j.ejor.2015.04.002,258X7NZOeKZMnxZ4vuBT_em-VwwFXZTxYoyKHgBptr0
10.1016/j.ejor.2015.04.021,Ce2Dwqn2VWsWMzMxESkL8ceMKuOMY9acpztqA536O5A
10.1016/j.ejor.2015.04.038,2KxkEZKXtOdO1JuPM474TuYmAIoEWOHKYSHAocoPj-0
10.1016/j.ejor.2015.04.014,4EwRrL7SkdWTZu3D2mWgANkAhB-waE6fsFHih02AcaI
10.1016/j.ejor.2015.04.020,1BYkVgnj_8mVrOrFIDoooyohvHCmApTieS9zH7-fu34
10.1016/j.ejor.2015.02.047,2ZF4qUG7Wf2mxspWCXO_85CmOZpb1cFfSGC3_W449NM
10.1016/j.ejor.2015.04.030,2A30a-BoofTKJyOHCXY1UE9yVDGYoTgD1VxBI3k8lVM
