doi,altmetric_id,tweet_id,tweet_url,postedAt,postType,originalPost,has_plumx,comments,source
10.1016/j.ejor.2014.10.024,2880562,5.93543E+17,https://twitter.com/Portsmouth_IR/status/593543494892789760,2015-04-29T22:32:51.000Z,tweet,TRUE,FALSE,网站IP不存在,http://eprints.port.ac.uk/17103/?utm_medium=twitter&utm_source=twitterfeed
10.1016/j.ejor.2014.10.024,2880562,5.93387E+17,https://twitter.com/Portsmouth_IR/status/593386993922355200,2015-04-29T12:10:58.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2014.10.024,2880562,5.32548E+17,https://twitter.com/Portsmouth_IR/status/532547547047288833,2014-11-12T14:56:44.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2014.11.011,2636340,5.10289E+17,https://twitter.com/RePEc_NEP_RMG/status/510288916855799808,2014-09-12T04:48:53.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2014.11.011,2636340,5.0576E+17,https://twitter.com/NickatFP/status/505759549165289472,2014-08-30T16:50:47.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2014.11.011,2636340,5.05702E+17,https://twitter.com/Jonathandr3s/status/505702127105495040,2014-08-30T13:02:37.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2014.11.011,2636340,5.0555E+17,https://twitter.com/IAMM0NEY/status/505549650053853184,2014-08-30T02:56:43.000Z,tweet,TRUE,FALSE,,https://arxiv.org/abs/1408.6673
10.1016/j.ejor.2014.11.011,2636340,5.05549E+17,https://twitter.com/quantivity/status/505549224876855296,2014-08-30T02:55:02.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2014.11.011,2636340,5.05163E+17,https://twitter.com/QFinancePapers/status/505163322988036096,2014-08-29T01:21:36.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2014.09.047,4916051,6.79651E+17,http://twitter.com/wrro/statuses/679650553568215041,2015-12-23T13:11:33.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2014.09.047,4916051,5.34698E+17,https://twitter.com/City_Research/status/534698124204183553,2014-11-18T13:22:21.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2014.07.045,2570395,4.96456E+17,https://twitter.com/dbworld_/status/496456197248417794,2014-08-05T00:42:35.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.07.027,4594626,6.51657E+17,http://twitter.com/MahasiswaMinang/statuses/651657239909023744,2015-10-07T07:16:07.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.08.013,4427470,6.40173E+17,http://twitter.com/jtorres_phd/statuses/640172674682105856,2015-09-05T14:40:34.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.08.026,33450884,1.0415E+18,http://twitter.com/verif_papers/statuses/1041504778159742976,2018-09-17T01:51:03.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.08.014,4859560,7.50129E+17,http://twitter.com/mining_papers/statuses/750129468790956032,2016-07-05T00:49:36.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.08.014,4859560,6.76915E+17,http://twitter.com/bilbosurordi/statuses/676914940549193728,2015-12-16T00:01:12.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.08.014,4859560,6.74766E+17,http://twitter.com/mining_papers/statuses/674766486569922560,2015-12-10T01:44:01.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.04.031,7526318,6.19142E+17,https://twitter.com/City_Research/status/619142024139112449,2015-07-09T13:52:16.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.07.041,4511654,6.40956E+17,http://twitter.com/hirameredin/statuses/640955600914935808,2015-09-07T18:31:38.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.06.020,4307965,6.24146E+17,https://twitter.com/Portsmouth_IR/status/624145614125711361,2015-07-23T09:14:45.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.05.025,5169828,8.64194E+17,http://twitter.com/GeekyOT/statuses/864194091994763265,2017-05-15T19:01:42.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.06.043,21509048,6.18057E+17,https://twitter.com/SINGgroup/status/618056572380430336,2015-07-06T13:59:04.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.05.023,4512148,6.05316E+17,https://twitter.com/PauloCortez4/status/605316257924014081,2015-06-01T10:13:36.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.05.026,12100949,7.78207E+17,http://twitter.com/RUA_Alicante/statuses/778206859081687045,2016-09-20T12:19:08.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.04.051,4512185,6.03137E+17,https://twitter.com/PauloCortez4/status/603137029946224640,2015-05-26T09:54:08.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.04.060,4455253,6.3838E+17,http://twitter.com/GreenCab3/statuses/638379624196644864,2015-08-31T15:55:37.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.04.069,4190371,6.11994E+17,https://twitter.com/PetrosXanthopou/status/611994269189046272,2015-06-19T20:29:38.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.03.017,3884349,7.25693E+17,http://twitter.com/RiuNetUPV/statuses/725693207212781568,2016-04-28T14:28:37.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.03.007,2574418,4.96818E+17,https://twitter.com/StatMLPapers/status/496817714246463488,2014-08-06T00:39:08.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.02.056,9843441,7.5532E+17,http://twitter.com/RiuNetUPV/statuses/755319688213565440,2016-07-19T08:33:41.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.02.057,3809146,5.7859E+17,https://twitter.com/AntoninDanalet/status/578589831334371328,2015-03-19T16:12:20.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.02.040,43901755,1.00932E+18,http://twitter.com/j_dreo/statuses/1009321914731581441,2018-06-20T06:27:51.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.01.057,4113664,6.07863E+17,https://twitter.com/BibEUETIB/status/607863021239681024,2015-06-08T10:53:32.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.01.041,3263051,6.00278E+17,https://twitter.com/kueprints/status/600277715892207616,2015-05-18T12:32:14.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2015.01.020,3083261,8.15323E+17,http://twitter.com/Buzz_Ed/statuses/815322671802155009,2016-12-31T22:24:07.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2014.11.035,2950386,5.40776E+17,https://twitter.com/nlpbot/status/540775745451474945,2014-12-05T07:52:39.000Z,tweet,TRUE,FALSE,,
10.1016/j.eswa.2014.10.006,5070369,6.94119E+17,http://twitter.com/RiuNetUPV/statuses/694118644050100224,2016-02-01T11:22:35.000Z,tweet,TRUE,FALSE,,
10.1080/0740817X.2015.1027458,4545152,6.46739E+17,http://twitter.com/jpazour/statuses/646739151103094784,2015-09-23T17:33:24.000Z,tweet,TRUE,FALSE,,
10.1080/0740817X.2014.955599,3726949,5.68858E+17,https://twitter.com/NanoQC/status/568858350571499520,2015-02-20T19:42:54.000Z,tweet,TRUE,FALSE,,
