SO,SO_id,DI,dimensions_id
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1547187,pub.1112707254
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1546686,pub.1112470126
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1500360,pub.1109903256
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1531390,pub.1109796525
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1531993,pub.1107906170
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1533628,pub.1107898975
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1500362,pub.1107899052
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1484351,pub.1107363845
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1483907,pub.1107363844
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1500359,pub.1106292279
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1497590,pub.1105906768
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1482826,pub.1104521302
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1456415,pub.1104019902
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1451318,pub.1103809966
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1372279,pub.1100561516
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1431213,pub.1103952363
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1485973,pub.1105740118
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1497131,pub.1105734999
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1481677,pub.1104434198
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1482827,pub.1105741810
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1451319,pub.1104010262
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1451317,pub.1103996942
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1395319,pub.1101226590
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1391771,pub.1099740558
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1389715,pub.1099677551
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1467429,pub.1103812953
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1412176,pub.1099653493
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1389716,pub.1092920278
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1372280,pub.1092920277
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1440841,pub.1103816408
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1443437,pub.1103809511
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1391770,pub.1101226589
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1416460,pub.1099733199
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1391764,pub.1099619852
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1391766,pub.1093116495
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1391765,pub.1093111190
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1391768,pub.1093092035
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1391767,pub.1093087559
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1391769,pub.1093083690
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1367655,pub.1092119872
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1407507,pub.1099684012
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1413222,pub.1099681490
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1412668,pub.1099680925
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1409567,pub.1099677889
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1380954,pub.1092072590
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1406846,pub.1099685782
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1406845,pub.1099683899
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1406844,pub.1099682275
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1388775,pub.1099679766
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1367919,pub.1092092729
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1367920,pub.1091937168
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1374939,pub.1091689626
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1313730,pub.1091299763
Review of African Political Economy,jour.1027711,10.1080/03056244.2017.1313729,pub.1086004471
